# timestamp tx ty tz qx qy qz qw
13118.1766603 -10.5399671427 2.38331287017 -11.3810703176 0.0500616395897, 0.328574831495 -0.133848190746 -0.933604345632
13118.1766603 -10.5399671427 2.38331287017 -11.3810703176 0.0500616395897, 0.328574831495 -0.133848190746 -0.933604345632
13118.1966724 -10.539824177 2.38372332751 -11.3815724733 0.0500685664152, 0.328595043955 -0.133832632383 -0.933599090753
13118.2064607 -10.5398488325 2.3836697685 -11.3815416849 0.0500682752987, 0.328593875152 -0.133836006057 -0.933599034117
13118.2166626 -10.5400687704 2.38366017014 -11.3813001563 0.0500692988045, 0.328582792697 -0.13383661922 -0.933602791886
13118.2264591 -10.5396155812 2.38370603932 -11.3817048044 0.0500739516598, 0.328602570982 -0.133833254085 -0.933596063515
13118.236673 -10.5395441838 2.38425018707 -11.3818503601 0.0500804845122, 0.32860580425 -0.133811384436 -0.933597709873
13118.2464591 -10.5400583773 2.38437140171 -11.3813277551 0.0500754510693, 0.328585823073 -0.133808777741 -0.933605386164
13118.2566788 -10.539504061 2.38436644787 -11.3818468507 0.0500806428532, 0.328607227644 -0.133807770027 -0.933597718416
13118.2664582 -10.5398151121 2.38429614782 -11.3815286139 0.0500822049917, 0.328588757861 -0.133810777889 -0.933603704294
13118.2766726 -10.5394731914 2.38429993328 -11.3818310822 0.0500843457557, 0.328605830092 -0.133810713896 -0.93359758975
13118.2864592 -10.5400860398 2.38471859325 -11.3812841178 0.0500808966926, 0.328581304887 -0.133796009085 -0.933608514217
13118.2966588 -10.5399516179 2.38473368296 -11.3814065837 0.0500797597624, 0.328589298859 -0.133796990297 -0.933605621087
13118.3064601 -10.5401416298 2.38481050661 -11.3811860081 0.0500749271663, 0.328579173061 -0.133796710356 -0.933609484205
13118.3166737 -10.5396056404 2.38494647746 -11.381676829 0.0500754605184, 0.328605840817 -0.133791721101 -0.933600784597
13118.3264578 -10.5399382566 2.38496186033 -11.3813261729 0.0500716982794, 0.32859486673 -0.133793662295 -0.933604570747
13118.336659 -10.5396335704 2.38531354892 -11.3818243303 0.0500741109482, 0.328610900135 -0.133777645335 -0.933601093259
13118.3464563 -10.5395514074 2.385382923 -11.3818679551 0.0500723680122, 0.328612400003 -0.13377630839 -0.933600850385
13118.3567406 -10.5394613141 2.3853522069 -11.3819682491 0.0500686569351, 0.328622342104 -0.133780659558 -0.933596926404
13118.3664544 -10.5394194011 2.38533148236 -11.3819874551 0.0500616806567, 0.328623630239 -0.133785880493 -0.933596098942
13118.3766557 -10.539864048 2.3854216766 -11.381528495 0.0500518379549, 0.328603585893 -0.133787091297 -0.933603508486
13118.3864545 -10.5395758327 2.38584485127 -11.3819311885 0.0500550339784, 0.328621378129 -0.133769329993 -0.933599619625
13118.3966664 -10.539623811 2.38579413753 -11.3818747946 0.0500549194889, 0.328621058635 -0.133772700416 -0.933599255291
13118.4064573 -10.539982452 2.38581649323 -11.3815130498 0.0500474531097, 0.328600870093 -0.133775794604 -0.933606318203
13118.416662 -10.5392687221 2.38589518385 -11.3821452479 0.0500486757114, 0.328637418725 -0.133773081867 -0.933593776565
13118.4264564 -10.5391865063 2.38593961047 -11.3822013917 0.0500537143979, 0.328639777427 -0.133769727066 -0.933593156835
13118.436667 -10.5396342344 2.38592920574 -11.3819315499 0.0500515566009, 0.328626920277 -0.133769851814 -0.933597780469
